id,neighbourhood,latitude,longitude,room_type,price,year
28123818,Hell's Kitchen,40.7592,-73.99125,Private room,95,2021
28125509,Upper West Side,40.78919,-73.97602,Private room,111,2021
28126356,Flatbush,40.64732,-73.96215,Private room,37,2021
28128149,Theater District,40.75989,-73.98736,Entire home/apt,410,2021
28129366,Murray Hill,40.7466,-73.97734,Entire home/apt,295,2021
28129565,Prospect-Lefferts Gardens,40.66142,-73.95158,Private room,77,2021
28129668,Cypress Hills,40.68285,-73.88375,Entire home/apt,96,2021
28129768,Astoria,40.76527,-73.9066,Private room,57,2021
28130502,Greenwich Village,40.73377,-73.99252,Private room,76,2021
28131065,Flushing,40.72666,-73.79265,Private room,80,2021
28131704,Bushwick,40.70066,-73.92708,Entire home/apt,65,2021
28132020,Midtown,40.75824,-73.96368,Private room,699,2021
28132057,Midtown,40.75697,-73.96508,Private room,3449,2021
28132121,Midtown,40.75864,-73.96528,Private room,3500,2021
28132190,Tribeca,40.7159,-74.0085,Private room,2399,2021
28132224,Midtown,40.75729,-73.96349,Private room,449,2021
28132251,Midtown,40.757,-73.96424,Private room,479,2021
28132293,Midtown,40.75735,-73.96555,Private room,399,2021
28132314,Midtown,40.7568,-73.9648,Private room,419,2021
28133007,Gramercy,40.73624,-73.99082,Entire home/apt,200,2021
28133596,SoHo,40.72616,-74.00491,Entire home/apt,199,2021
28133914,Bedford-Stuyvesant,40.68109,-73.94972,Private room,85,2021
28135177,West Village,40.73062,-74.0032,Private room,100,2021
28135545,Lower East Side,40.72031,-73.98488,Private room,7000,2021
28136160,Hell's Kitchen,40.76017,-73.99202,Entire home/apt,90,2021
28137157,Springfield Gardens,40.66986,-73.75155,Private room,70,2021
28137623,Springfield Gardens,40.6679,-73.7509,Private room,68,2021
28138470,Flatbush,40.63295,-73.96094,Entire home/apt,95,2021
28151027,Bedford-Stuyvesant,40.68716,-73.94579,Private room,73,2021
28152851,Woodside,40.74409,-73.90479,Private room,43,2021
28155197,Crown Heights,40.67591,-73.93908,Entire home/apt,100,2021
28158237,Bedford-Stuyvesant,40.68695,-73.92164,Private room,160,2021
28159221,Bedford-Stuyvesant,40.68698,-73.91975,Private room,109,2021
28160221,Springfield Gardens,40.66775,-73.75444,Entire home/apt,150,2021
28161643,East Harlem,40.78878,-73.94722,Private room,59,2021
28162058,Harlem,40.81175,-73.94555,Entire home/apt,230,2021
28164678,Inwood,40.86222,-73.9286,Entire home/apt,70,2021
28165121,Flatbush,40.65003,-73.96403,Private room,72,2021
28177443,East Village,40.72883,-73.98753,Entire home/apt,200,2021
28178226,East Village,40.73246,-73.98808,Entire home/apt,255,2021
28179447,Arverne,40.59266,-73.80005,Private room,50,2021
28180748,East Village,40.72762,-73.98601,Entire home/apt,119,2021
28181243,Crown Heights,40.66864,-73.93578,Entire home/apt,170,2021
28181575,Vinegar Hill,40.7026,-73.98155,Entire home/apt,120,2021
28181827,Bushwick,40.69506,-73.90788,Entire home/apt,135,2021
28184001,Astoria,40.76902,-73.92191,Private room,68,2021
28184199,Prospect-Lefferts Gardens,40.65985,-73.94791,Private room,79,2021
28184830,Williamsburg,40.70922,-73.95117,Private room,48,2021
28185576,Ditmars Steinway,40.77443,-73.91462,Private room,120,2021
28186096,East Village,40.72748,-73.98322,Entire home/apt,139,2021
28188131,East Harlem,40.79841,-73.93463,Private room,76,2021
28195740,Sunset Park,40.66538,-73.99355,Entire home/apt,130,2021
28197084,Washington Heights,40.853,-73.9361,Entire home/apt,180,2021
28200288,Midtown,40.74707,-73.98785,Entire home/apt,231,2021
28202825,East Elmhurst,40.768,-73.87898,Entire home/apt,146,2021
28204876,Bensonhurst,40.60504,-73.99187,Entire home/apt,159,2021
28205535,Fort Hamilton,40.62072,-74.03251,Private room,35,2021
28206135,Morris Park,40.85322,-73.85232,Private room,55,2021
28206177,Morris Park,40.8519,-73.85068,Private room,52,2021
28208166,Upper West Side,40.77675,-73.98136,Entire home/apt,115,2021
28216267,Hell's Kitchen,40.76002,-73.99708,Entire home/apt,250,2021
28217921,East Flatbush,40.66256,-73.93451,Private room,99,2021
28219460,Bedford-Stuyvesant,40.68915,-73.95301,Entire home/apt,146,2021
28220182,Prospect-Lefferts Gardens,40.6613,-73.95365,Entire home/apt,100,2021
28221379,Crown Heights,40.66946,-73.92865,Private room,66,2021
28221653,Upper West Side,40.7972,-73.97016,Private room,99,2021
28223260,Upper West Side,40.77001,-73.98355,Entire home/apt,179,2021
28224871,Washington Heights,40.83969,-73.93861,Entire home/apt,164,2021
28230753,Greenwich Village,40.7279,-74.00154,Private room,69,2021
28240916,SoHo,40.72325,-74.0068,Private room,149,2021
28247510,Williamsburg,40.71501,-73.94381,Private room,94,2021
28250925,Prospect Heights,40.67859,-73.97183,Private room,55,2021
28251042,Harlem,40.81954,-73.9392,Private room,86,2021
28252786,Midwood,40.6168,-73.96609,Entire home/apt,110,2021
28253864,Astoria,40.76617,-73.91496,Entire home/apt,105,2021
28256958,Boerum Hill,40.68854,-73.98623,Private room,80,2021
28261992,Bushwick,40.6967,-73.92815,Private room,50,2021
28270998,Bedford-Stuyvesant,40.69563,-73.94927,Entire home/apt,120,2021
28272634,East Village,40.72442,-73.97692,Private room,171,2021
28275375,Williamsburg,40.71679,-73.95839,Private room,39,2021
28277122,Canarsie,40.64045,-73.88231,Private room,95,2021
28277212,Flushing,40.76768,-73.82448,Private room,45,2021
28277480,Murray Hill,40.74869,-73.9753,Private room,105,2021
28279916,Williamsburg,40.70918271,-73.94720596,Entire home/apt,240,2021
28284019,East Harlem,40.79965,-73.93905,Entire home/apt,125,2021
28285795,Bedford-Stuyvesant,40.68723,-73.94388,Private room,150,2021
28286395,Midtown,40.7662,-73.98279,Private room,85,2021
28286952,Upper West Side,40.78886,-73.96855,Entire home/apt,199,2021
28287653,Long Island City,40.74523,-73.95324,Entire home/apt,600,2021
28290447,Harlem,40.80637,-73.94267,Entire home/apt,119,2021
28298437,Bushwick,40.69596,-73.90791,Private room,75,2021
28298976,Astoria,40.76725,-73.91355,Shared room,50,2021
28310699,Jackson Heights,40.75156,-73.88298,Private room,57,2021
28311763,East Harlem,40.7988,-73.94262,Entire home/apt,80,2021
28312177,Crown Heights,40.66743,-73.94282,Entire home/apt,125,2021
28312520,Forest Hills,40.71953,-73.85221,Private room,52,2021
28312557,East Flatbush,40.63462,-73.94276,Entire home/apt,98,2021
28313356,Williamsburg,40.70991,-73.94359,Private room,44,2021
28314565,Jackson Heights,40.75179,-73.88517,Private room,55,2021
28314777,Jamaica,40.69934,-73.78676,Private room,63,2021
28316936,Williamsburg,40.70822,-73.95101,Private room,49,2021
28324221,Midtown,40.75355,-73.97169,Entire home/apt,225,2021
28329076,Williamsburg,40.71302,-73.93946,Private room,220,2021
28333941,Crown Heights,40.67744,-73.94846,Private room,100,2021
28334760,Boerum Hill,40.68624,-73.98586,Private room,93,2021
28335031,Chelsea,40.73737,-73.99504,Entire home/apt,185,2021
28337493,Williamsburg,40.71703,-73.95835,Private room,130,2021
28338110,Bedford-Stuyvesant,40.68638,-73.95281,Private room,44,2021
28339611,Williamsburg,40.71167,-73.959,Entire home/apt,140,2021
