id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price
32670599,"SF GETAWAY!3BR,SLEEP6,NR ALL SO SF EAST SO &NO BAY",408300,,Bayview,37.72586,-122.38348,Entire home/apt,199
32675691,"WOW! SF LOVELY RM,NR ALL,DOWNTOWN,SO SF,EASTSO BAY",408300,,Bayview,37.7277,-122.38391,Private room,49
32702921,Clean Modern Studio Suite w/Private Entrance & 5⭐️,245910178,,Outer Sunset,37.7521,-122.49592,Entire home/apt,128
32716563,DONATELLO HOTEL IN UNION SQUARE,64646820,,Downtown/Civic Center,37.7874,-122.41134,Private room,211
32717018,GREAT LOCATION-FISHERMAN'S WHARF W/KITCHEN slps4,64646820,,Russian Hill,37.80487,-122.41951,Entire home/apt,189
32717493,NEAR FISHERMAN'S WHARF AND PIER 39-sleeps 4,64646820,,Russian Hill,37.80645,-122.4198,Private room,299
32724526,Clean and cozy private entrance and private bath,21567505,,Glen Park,37.73851,-122.42876,Entire home/apt,90
32724996,Victorian Condo in Central Historic District,16630135,,Western Addition,37.76932,-122.43529,Entire home/apt,250
32725950,New renovated 1 BR steps to UCSF with deck & views,541068,,Inner Sunset,37.76229,-122.45955,Entire home/apt,195
32726099,Lovely In-Law on Bernal Hill,7167269,,Bernal Heights,37.74137,-122.41363,Entire home/apt,150
32740903,Modern Minimalism with a View,669175,,Bernal Heights,37.74655,-122.40856,Entire home/apt,265
32744842,Beautiful 3Br 2.5 Bath Edwardian,15131298,,Outer Richmond,37.77653,-122.50482,Entire home/apt,335
32746725,Sutro Heights Executive Suite & Private Entrance,1984693,,Outer Richmond,37.77853,-122.50835,Entire home/apt,141
32747421,Private studio with Bath&Shower.,79715071,,Ocean View,37.72086,-122.44997,Entire home/apt,37
32747602,Cozy 3BR with Parking in Fantastic Location!,74679017,,Inner Richmond,37.77983,-122.47415,Entire home/apt,235
32748600,"Ingleside SF, Private room. 5mins walk to BART",79715071,,Ocean View,37.72239,-122.45125,Private room,39
32748703,Lovely Big Ceiling Window SF. 5 mins Walk to BART,79715071,,Ocean View,37.72224,-122.45178,Private room,39
32748841,Cute Studio Private Bath&Shower. 5mins walk 2BART.,79715071,,Ocean View,37.7221,-122.4501,Entire home/apt,40
32749482,Lovely Private Room in Richmond San Francisco.,79715071,,Outer Richmond,37.7791,-122.48488,Private room,32
32749634,Noe Valley Studio,236827734,,Glen Park,37.74125,-122.42926,Entire home/apt,125
32749979,"Central, Classic Victorian Flat in Hayes Valley",246294725,,Western Addition,37.77449,-122.42708,Entire home/apt,320
